Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src
nike-sneakers-0,Nike Sneakers 0,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,7,nike-sneakers-0-7,3086,30,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-0/600/600
nike-sneakers-0,Nike Sneakers 0,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,8,nike-sneakers-0-8,1500,32,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-0/600/600
nike-sneakers-0,Nike Sneakers 0,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,9,nike-sneakers-0-9,2737,16,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-0/600/600
puma-sneakers-1,Puma Sneakers 1,Premium sneakers for everyday comfort and style.,Puma,sneakers,"puma,sneakers",TRUE,Size,7,puma-sneakers-1-7,4663,35,TRUE,TRUE,https://picsum.photos/seed/puma-sneakers-1/600/600
puma-sneakers-1,Puma Sneakers 1,Premium sneakers for everyday comfort and style.,Puma,sneakers,"puma,sneakers",TRUE,Size,8,puma-sneakers-1-8,1236,32,TRUE,TRUE,https://picsum.photos/seed/puma-sneakers-1/600/600
puma-sneakers-1,Puma Sneakers 1,Premium sneakers for everyday comfort and style.,Puma,sneakers,"puma,sneakers",TRUE,Size,9,puma-sneakers-1-9,3638,20,TRUE,TRUE,https://picsum.photos/seed/puma-sneakers-1/600/600
nike-sneakers-2,Nike Sneakers 2,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,7,nike-sneakers-2-7,4222,29,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-2/600/600
nike-sneakers-2,Nike Sneakers 2,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,8,nike-sneakers-2-8,2908,43,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-2/600/600
nike-sneakers-2,Nike Sneakers 2,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,9,nike-sneakers-2-9,2991,30,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-2/600/600
nike-tshirts-3,Nike Tshirts 3,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,S,nike-tshirts-3-S,7886,46,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-3/600/600
nike-tshirts-3,Nike Tshirts 3,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,M,nike-tshirts-3-M,1734,14,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-3/600/600
nike-tshirts-3,Nike Tshirts 3,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,L,nike-tshirts-3-L,1545,36,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-3/600/600
nike-sneakers-4,Nike Sneakers 4,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,7,nike-sneakers-4-7,1705,25,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-4/600/600
nike-sneakers-4,Nike Sneakers 4,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,8,nike-sneakers-4-8,1963,28,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-4/600/600
nike-sneakers-4,Nike Sneakers 4,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,9,nike-sneakers-4-9,7574,33,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-4/600/600
fila-tshirts-5,Fila Tshirts 5,Premium tshirts for everyday comfort and style.,Fila,tshirts,"fila,tshirts",TRUE,Size,S,fila-tshirts-5-S,2651,16,TRUE,TRUE,https://picsum.photos/seed/fila-tshirts-5/600/600
fila-tshirts-5,Fila Tshirts 5,Premium tshirts for everyday comfort and style.,Fila,tshirts,"fila,tshirts",TRUE,Size,M,fila-tshirts-5-M,6922,22,TRUE,TRUE,https://picsum.photos/seed/fila-tshirts-5/600/600
fila-tshirts-5,Fila Tshirts 5,Premium tshirts for everyday comfort and style.,Fila,tshirts,"fila,tshirts",TRUE,Size,L,fila-tshirts-5-L,5237,19,TRUE,TRUE,https://picsum.photos/seed/fila-tshirts-5/600/600
fila-sneakers-6,Fila Sneakers 6,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,7,fila-sneakers-6-7,4934,44,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-6/600/600
fila-sneakers-6,Fila Sneakers 6,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,8,fila-sneakers-6-8,1128,24,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-6/600/600
fila-sneakers-6,Fila Sneakers 6,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,9,fila-sneakers-6-9,5368,29,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-6/600/600
converse-slides-7,Converse Slides 7,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,7,converse-slides-7-7,4654,21,TRUE,TRUE,https://picsum.photos/seed/converse-slides-7/600/600
converse-slides-7,Converse Slides 7,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,8,converse-slides-7-8,7716,18,TRUE,TRUE,https://picsum.photos/seed/converse-slides-7/600/600
converse-slides-7,Converse Slides 7,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,9,converse-slides-7-9,4567,29,TRUE,TRUE,https://picsum.photos/seed/converse-slides-7/600/600
fila-sneakers-8,Fila Sneakers 8,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,7,fila-sneakers-8-7,3486,21,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-8/600/600
fila-sneakers-8,Fila Sneakers 8,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,8,fila-sneakers-8-8,7322,10,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-8/600/600
fila-sneakers-8,Fila Sneakers 8,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,9,fila-sneakers-8-9,2237,43,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-8/600/600
converse-slides-9,Converse Slides 9,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,7,converse-slides-9-7,5151,33,TRUE,TRUE,https://picsum.photos/seed/converse-slides-9/600/600
converse-slides-9,Converse Slides 9,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,8,converse-slides-9-8,4313,44,TRUE,TRUE,https://picsum.photos/seed/converse-slides-9/600/600
converse-slides-9,Converse Slides 9,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,9,converse-slides-9-9,1963,33,TRUE,TRUE,https://picsum.photos/seed/converse-slides-9/600/600
nike-tshirts-10,Nike Tshirts 10,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,S,nike-tshirts-10-S,1364,40,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-10/600/600
nike-tshirts-10,Nike Tshirts 10,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,M,nike-tshirts-10-M,1538,27,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-10/600/600
nike-tshirts-10,Nike Tshirts 10,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,L,nike-tshirts-10-L,7989,34,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-10/600/600
nike-slides-11,Nike Slides 11,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,7,nike-slides-11-7,6527,24,TRUE,TRUE,https://picsum.photos/seed/nike-slides-11/600/600
nike-slides-11,Nike Slides 11,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,8,nike-slides-11-8,4656,18,TRUE,TRUE,https://picsum.photos/seed/nike-slides-11/600/600
nike-slides-11,Nike Slides 11,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,9,nike-slides-11-9,7004,15,TRUE,TRUE,https://picsum.photos/seed/nike-slides-11/600/600
converse-slides-12,Converse Slides 12,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,7,converse-slides-12-7,4152,45,TRUE,TRUE,https://picsum.photos/seed/converse-slides-12/600/600
converse-slides-12,Converse Slides 12,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,8,converse-slides-12-8,2144,21,TRUE,TRUE,https://picsum.photos/seed/converse-slides-12/600/600
converse-slides-12,Converse Slides 12,Premium slides for everyday comfort and style.,Converse,slides,"converse,slides",TRUE,Size,9,converse-slides-12-9,3901,42,TRUE,TRUE,https://picsum.photos/seed/converse-slides-12/600/600
nike-sneakers-13,Nike Sneakers 13,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,7,nike-sneakers-13-7,4016,33,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-13/600/600
nike-sneakers-13,Nike Sneakers 13,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,8,nike-sneakers-13-8,2795,11,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-13/600/600
nike-sneakers-13,Nike Sneakers 13,Premium sneakers for everyday comfort and style.,Nike,sneakers,"nike,sneakers",TRUE,Size,9,nike-sneakers-13-9,4394,26,TRUE,TRUE,https://picsum.photos/seed/nike-sneakers-13/600/600
puma-tshirts-14,Puma Tshirts 14,Premium tshirts for everyday comfort and style.,Puma,tshirts,"puma,tshirts",TRUE,Size,S,puma-tshirts-14-S,5054,17,TRUE,TRUE,https://picsum.photos/seed/puma-tshirts-14/600/600
puma-tshirts-14,Puma Tshirts 14,Premium tshirts for everyday comfort and style.,Puma,tshirts,"puma,tshirts",TRUE,Size,M,puma-tshirts-14-M,3096,10,TRUE,TRUE,https://picsum.photos/seed/puma-tshirts-14/600/600
puma-tshirts-14,Puma Tshirts 14,Premium tshirts for everyday comfort and style.,Puma,tshirts,"puma,tshirts",TRUE,Size,L,puma-tshirts-14-L,6324,13,TRUE,TRUE,https://picsum.photos/seed/puma-tshirts-14/600/600
adidas-slides-15,Adidas Slides 15,Premium slides for everyday comfort and style.,Adidas,slides,"adidas,slides",TRUE,Size,7,adidas-slides-15-7,6595,11,TRUE,TRUE,https://picsum.photos/seed/adidas-slides-15/600/600
adidas-slides-15,Adidas Slides 15,Premium slides for everyday comfort and style.,Adidas,slides,"adidas,slides",TRUE,Size,8,adidas-slides-15-8,2467,23,TRUE,TRUE,https://picsum.photos/seed/adidas-slides-15/600/600
adidas-slides-15,Adidas Slides 15,Premium slides for everyday comfort and style.,Adidas,slides,"adidas,slides",TRUE,Size,9,adidas-slides-15-9,3180,15,TRUE,TRUE,https://picsum.photos/seed/adidas-slides-15/600/600
puma-sneakers-16,Puma Sneakers 16,Premium sneakers for everyday comfort and style.,Puma,sneakers,"puma,sneakers",TRUE,Size,7,puma-sneakers-16-7,6282,43,TRUE,TRUE,https://picsum.photos/seed/puma-sneakers-16/600/600
puma-sneakers-16,Puma Sneakers 16,Premium sneakers for everyday comfort and style.,Puma,sneakers,"puma,sneakers",TRUE,Size,8,puma-sneakers-16-8,2252,11,TRUE,TRUE,https://picsum.photos/seed/puma-sneakers-16/600/600
puma-sneakers-16,Puma Sneakers 16,Premium sneakers for everyday comfort and style.,Puma,sneakers,"puma,sneakers",TRUE,Size,9,puma-sneakers-16-9,3897,24,TRUE,TRUE,https://picsum.photos/seed/puma-sneakers-16/600/600
fila-sneakers-17,Fila Sneakers 17,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,7,fila-sneakers-17-7,5885,28,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-17/600/600
fila-sneakers-17,Fila Sneakers 17,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,8,fila-sneakers-17-8,6945,16,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-17/600/600
fila-sneakers-17,Fila Sneakers 17,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,9,fila-sneakers-17-9,7036,16,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-17/600/600
fila-tshirts-18,Fila Tshirts 18,Premium tshirts for everyday comfort and style.,Fila,tshirts,"fila,tshirts",TRUE,Size,S,fila-tshirts-18-S,6957,10,TRUE,TRUE,https://picsum.photos/seed/fila-tshirts-18/600/600
