Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src
banarasi-silk-saree--deep-red,Banarasi Silk Saree - Deep Red,Banarasi Silk Saree - Deep Red. Handcrafted saree from Kalanidhi.,Kalanidhi,saree,"saree,banarasi,silk,festive,wedding",TRUE,Size,Free Size,banarasi-silk-saree--deep-red-FreeSize,8990,6,TRUE,TRUE,https://picsum.photos/seed/banarasi-silk-saree--deep-red/600/600
kanjivaram-silk-saree--peacock-blue,Kanjivaram Silk Saree - Peacock Blue,Kanjivaram Silk Saree - Peacock Blue. Handcrafted saree from Kalanidhi.,Kalanidhi,saree,"saree,kanjivaram,silk,wedding,bridal",TRUE,Size,Free Size,kanjivaram-silk-saree--peacock-blue-FreeSize,12500,3,TRUE,TRUE,https://picsum.photos/seed/kanjivaram-silk-saree--peacock-blue/600/600
chanderi-cotton-saree--ivory,Chanderi Cotton Saree - Ivory,Chanderi Cotton Saree - Ivory. Handcrafted saree from Kalanidhi.,Kalanidhi,saree,"saree,chanderi,cotton,casual,summer",TRUE,Size,Free Size,chanderi-cotton-saree--ivory-FreeSize,3450,18,TRUE,TRUE,https://picsum.photos/seed/chanderi-cotton-saree--ivory/600/600
georgette-printed-saree--mustard,Georgette Printed Saree - Mustard,Georgette Printed Saree - Mustard. Handcrafted saree from Rangrez.,Rangrez,saree,"saree,georgette,printed,work",TRUE,Size,Free Size,georgette-printed-saree--mustard-FreeSize,2199,24,TRUE,TRUE,https://picsum.photos/seed/georgette-printed-saree--mustard/600/600
tussar-silk-saree--olive,Tussar Silk Saree - Olive,Tussar Silk Saree - Olive. Handcrafted saree from Rangrez.,Rangrez,saree,"saree,tussar,silk,festive",TRUE,Size,Free Size,tussar-silk-saree--olive-FreeSize,6750,9,TRUE,TRUE,https://picsum.photos/seed/tussar-silk-saree--olive/600/600
bridal-lehenga-choli--maroon-zari,Bridal Lehenga Choli - Maroon Zari,Bridal Lehenga Choli - Maroon Zari. Handcrafted lehenga from Vivaha.,Vivaha,lehenga,"lehenga,bridal,wedding,zari,heavy",TRUE,Size,S,bridal-lehenga-choli--maroon-zari-S,34999,2,TRUE,TRUE,https://picsum.photos/seed/bridal-lehenga-choli--maroon-zari/600/600
bridal-lehenga-choli--maroon-zari,Bridal Lehenga Choli - Maroon Zari,Bridal Lehenga Choli - Maroon Zari. Handcrafted lehenga from Vivaha.,Vivaha,lehenga,"lehenga,bridal,wedding,zari,heavy",TRUE,Size,M,bridal-lehenga-choli--maroon-zari-M,35099,2,TRUE,TRUE,https://picsum.photos/seed/bridal-lehenga-choli--maroon-zari/600/600
bridal-lehenga-choli--maroon-zari,Bridal Lehenga Choli - Maroon Zari,Bridal Lehenga Choli - Maroon Zari. Handcrafted lehenga from Vivaha.,Vivaha,lehenga,"lehenga,bridal,wedding,zari,heavy",TRUE,Size,L,bridal-lehenga-choli--maroon-zari-L,35199,2,TRUE,TRUE,https://picsum.photos/seed/bridal-lehenga-choli--maroon-zari/600/600
sequin-lehenga-set--champagne,Sequin Lehenga Set - Champagne,Sequin Lehenga Set - Champagne. Handcrafted lehenga from Vivaha.,Vivaha,lehenga,"lehenga,party,sequin,sangeet",TRUE,Size,S,sequin-lehenga-set--champagne-S,15999,4,TRUE,TRUE,https://picsum.photos/seed/sequin-lehenga-set--champagne/600/600
sequin-lehenga-set--champagne,Sequin Lehenga Set - Champagne,Sequin Lehenga Set - Champagne. Handcrafted lehenga from Vivaha.,Vivaha,lehenga,"lehenga,party,sequin,sangeet",TRUE,Size,M,sequin-lehenga-set--champagne-M,16099,4,TRUE,TRUE,https://picsum.photos/seed/sequin-lehenga-set--champagne/600/600
sequin-lehenga-set--champagne,Sequin Lehenga Set - Champagne,Sequin Lehenga Set - Champagne. Handcrafted lehenga from Vivaha.,Vivaha,lehenga,"lehenga,party,sequin,sangeet",TRUE,Size,L,sequin-lehenga-set--champagne-L,16199,4,TRUE,TRUE,https://picsum.photos/seed/sequin-lehenga-set--champagne/600/600
chaniya-choli--mirror-work,Chaniya Choli - Mirror Work,Chaniya Choli - Mirror Work. Handcrafted lehenga from Rangrez.,Rangrez,lehenga,"lehenga,chaniya choli,navratri,garba,festive",TRUE,Size,S,chaniya-choli--mirror-work-S,4899,20,TRUE,TRUE,https://picsum.photos/seed/chaniya-choli--mirror-work/600/600
chaniya-choli--mirror-work,Chaniya Choli - Mirror Work,Chaniya Choli - Mirror Work. Handcrafted lehenga from Rangrez.,Rangrez,lehenga,"lehenga,chaniya choli,navratri,garba,festive",TRUE,Size,M,chaniya-choli--mirror-work-M,4999,20,TRUE,TRUE,https://picsum.photos/seed/chaniya-choli--mirror-work/600/600
chaniya-choli--mirror-work,Chaniya Choli - Mirror Work,Chaniya Choli - Mirror Work. Handcrafted lehenga from Rangrez.,Rangrez,lehenga,"lehenga,chaniya choli,navratri,garba,festive",TRUE,Size,L,chaniya-choli--mirror-work-L,5099,20,TRUE,TRUE,https://picsum.photos/seed/chaniya-choli--mirror-work/600/600
chaniya-choli--mirror-work,Chaniya Choli - Mirror Work,Chaniya Choli - Mirror Work. Handcrafted lehenga from Rangrez.,Rangrez,lehenga,"lehenga,chaniya choli,navratri,garba,festive",TRUE,Size,XL,chaniya-choli--mirror-work-XL,5199,20,TRUE,TRUE,https://picsum.photos/seed/chaniya-choli--mirror-work/600/600
anarkali-suit-set--powder-blue,Anarkali Suit Set - Powder Blue,Anarkali Suit Set - Powder Blue. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"anarkali,suit,festive,party",TRUE,Size,S,anarkali-suit-set--powder-blue-S,5299,12,TRUE,TRUE,https://picsum.photos/seed/anarkali-suit-set--powder-blue/600/600
anarkali-suit-set--powder-blue,Anarkali Suit Set - Powder Blue,Anarkali Suit Set - Powder Blue. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"anarkali,suit,festive,party",TRUE,Size,M,anarkali-suit-set--powder-blue-M,5399,12,TRUE,TRUE,https://picsum.photos/seed/anarkali-suit-set--powder-blue/600/600
